,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,ucmd_clf
369535,0.414369201770964,0.6033599414862,0.361052812095349,0.816077197583293,0.323797175202495,0.476020605768018,0.998731446899805,0.485628071789378,True
885353,0.0312048290923448,0.597810882760421,0.652008318352892,0.686966119808324,0.724362411200034,0.740378270645839,0.212871401316481,0.81211366007397,True
884695,0.509816683643717,0.764331293321891,0.0654567320083368,0.904660816227129,0.847473843821505,0.408085104605538,0.670860715759631,0.0236004708854576,True
328899,0.370501392930431,0.621258311371969,0.608896995543758,0.454430233054847,0.95398768068713,0.781733417438357,0.61497436095048,0.407037410765767,True
590422,0.461703933935641,0.835204979235466,0.157523682499662,0.921845572255763,0.11233518474258,0.308176329150529,0.738829569295494,0.0400975643619964,True
586906,0.682967724772361,0.772414420203548,0.684914494922328,0.71310021373594,0.544791981102121,0.298568747043063,0.0620630426766477,0.613776601753153,True
788874,0.124285304596829,0.61466085537846,0.593458181389842,0.682680365359922,0.667931100293728,0.895446287306666,0.967215800783526,0.490107969621992,True
744322,0.964085822284315,0.816362232731995,0.320922747045841,0.589400992717114,0.240219318610396,0.795073320577634,0.959396898323733,0.223754897989772,True
802464,0.0248719171167284,0.663540412323224,0.406230519605675,0.727368068457987,0.362811946574624,0.936783227130545,0.435866036523912,0.720207165107879,True
637413,0.531954302318302,0.845980296472877,0.329468040570706,0.685992255844713,0.888242877330931,0.123909075208673,0.134223544981069,0.444035678019259,True
650875,0.829854936975219,0.572878488074442,0.545763382550481,0.633942026348619,0.00873173045293606,0.507189364000949,0.388899181348694,0.964669100029184,True
931110,0.146966399899257,0.894369377190513,0.668829676367308,0.460347129994885,0.3906359073431,0.0565478921183086,0.970383580105296,0.812756199779281,True
253398,0.089381207738889,0.741532289314619,0.747576189675648,0.735441160825366,0.456809649798157,0.295698319385644,0.122615492946288,0.0804344129072542,True
681651,0.220055347279794,0.766988859639414,0.942602647832138,0.645287042693448,0.793782299624434,0.397107083676687,0.00301946361402231,0.326301585479047,True
354290,0.522470065306589,0.972972159585779,0.695521813744816,0.536415891164088,0.944876254433721,0.387762088270881,0.571116830078891,0.0537959627209886,True
716805,0.712362196546536,0.932553296435667,0.561333087313697,0.634904526347875,0.0367407642385337,0.155037417890273,0.97922979636676,0.00151311051942144,True
800394,0.963341576441017,0.794213422325909,0.277235996474734,0.574813022746331,0.121180941287504,0.0176467411388406,0.395019730212679,0.709062596013971,True
876669,0.607155181010907,0.616011673649706,0.340476472016729,0.604974065301186,0.0957712333507939,0.663687181088573,0.235149217446963,0.409140355573757,True
942749,0.605712767550727,0.912711428840483,0.780309911419618,0.455748143609679,0.126477287397042,0.0553238412712151,0.013199229611318,0.724493402145077,True
805615,0.986113991549512,0.676876966252801,0.823739593011209,0.420061488191433,0.729647613472063,0.257362273036718,0.0619865972215182,0.995944071429599,True
987141,0.0290746190893832,0.758812933166711,0.374635757737665,0.79967415132391,0.172783558219293,0.442532710176518,0.239662068177539,0.532425903287469,True
484320,0.209094521477253,0.762119458550175,0.584735441440942,0.429378256856963,0.887165143961947,0.662555848115188,0.580898989751016,0.933201348330946,True
334726,0.09174942799792,0.642506223118426,0.0640448315725946,0.780215784360729,0.93370187273949,0.773557775067261,0.970362195465051,0.669100459962135,True
